origin,destination,expanded_workers_2010,sample_records
3300456,8888888,589.1418426913091,27
3300506,3117900,12.1467394575925,1
3300506,3126109,10.1990520263503,1
3300506,3300506,7947.8448195878345,757
3300506,3301108,44.751310081911996,4
3300506,3301504,22.745334513717403,2
3300506,3301603,78.8144795657499,8
3300506,3302403,21.3291828546601,2
3300506,3303302,48.06605732210009,5
3300506,3303401,1444.2157429262095,138
3300506,3304557,56.5717999756126,5
3300506,3304904,15.0408176759154,1
3300506,3305703,8.818952301262,1
3300506,3305901,10.1572803836576,1
3300506,3399999,12.4511456134015,1
3300506,3550308,45.2451887333749,4
3300506,4106902,11.3678954430823,1
3300605,3101508,15.1609239127052,2
3300605,3106705,7.4356085934845,1
3300605,3143906,16.525031605688298,2
3300605,3170800,7.103315380409,1
3300605,3200201,12.2227316972671,1
3300605,3200508,59.63752267130411,7
3300605,3201100,386.23529628964445,38
3300605,3201209,20.9662546329654,2
3300605,3201704,13.5115649595551,1
3300605,3202553,9.1720725498202,1
3300605,3202603,11.3204344222636,1
3300605,3203403,2.9369168735514,1
3300605,3204302,12.1930290838812,1
3300605,3204807,59.8818767346333,7
3300605,3205309,36.4944105153386,4
3300605,3300159,10.3804170147653,1
3300605,3300209,13.1132215352865,1
3300605,3300233,18.7140053533192,2
3300605,3300605,9386.660830808589,939
3300605,3301009,294.1998849156668,27
3300605,3301702,12.1581847318929,1
3300605,3302205,221.34139423962793,21
3300605,3302304,12.6037436009835,1
3300605,3302403,129.65418208530522,13
3300605,3303302,18.0388610557672,2
3300605,3303906,6.5934862656685,1
3300605,3304151,11.4243653533953,1
3300605,3304524,37.2895633918193,3
3300605,3304557,119.04465675035532,12
3300605,3304706,10.2020847425092,1
3300605,3304755,6.6527445776609,1
3300605,3304904,12.3165760896474,1
3300605,3305133,10.3018146679326,1
3300605,3305208,10.3287882919278,1
3300605,3548500,12.5025068573751,1
3300605,3550308,9.2749145024252,1
3300704,1302603,6.6843244835047,1
3300704,2512101,8.527423906647,1
3300704,2925303,18.7408358706146,1
3300704,3105608,20.9053357981548,2
3300704,3106200,30.5239510436924,3
3300704,3122306,7.6773180793916,1
3300704,3136702,21.0944176473415,2
3300704,3203205,10.6428341540289,1
3300704,3205200,6.3347058517372,1
3300704,3205309,7.338740583773101,2
3300704,3300100,15.278973643058,1
3300704,3300209,129.3122515692136,13
3300704,3300233,5338.782288132333,519
3300704,3300258,546.7870105860302,53
3300704,3300704,53521.32142384155,5096
3300704,3301009,232.08874440173201,21
3300704,3301306,775.5657717498182,67
3300704,3301702,32.985848079966,3
3300704,3301876,102.6222091093643,9
3300704,3301900,19.0071749197167,2
3300704,3302205,25.3280667526261,2
3300704,3302403,2599.6412491421906,238
3300704,3302502,23.0257654548385,2
3300704,3303203,20.383560992457,2
3300704,3303302,148.7255684477284,16
3300704,3303500,57.9030563445803,5
3300704,3303906,8.3292184147538,1
3300704,3304003,36.3190509108506,2
3300704,3304300,10.3595974215618,1
3300704,3304524,1447.6197935717303,132
3300704,3304557,1510.3056675201644,145
3300704,3304607,24.1657312900038,2
3300704,3304904,35.9514009184435,3
3300704,3305109,8.724032341818,1
3300704,3305208,985.8352080827036,99
3300704,3305505,43.8024526929485,4
3300704,3305802,10.6762202844973,1
3300704,3306305,11.1951490817804,1
3300704,3505708,9.8878709421252,1
3300704,3506003,12.0828656450019,1
3300704,3509502,11.487613983073,1
3300704,3523107,15.0236695835555,1
3300704,3547809,8.0927101729023,1
3300704,3548708,5.5835678588898,1
3300704,4113205,8.4562015003644,1
3300704,4199999,6.2526342630153,1
3300704,4314902,8.4765909061649,1
3300704,4315602,10.7959454719541,1
3300704,5103403,8.3557102408964,1
3300704,5300108,9.3364681083251,1
3300704,8888888,87.75191474035981,8
3300803,3205309,11.0276202085476,1
3300803,3300100,30.2854476931508,3
3300803,3300308,10.2984837368632,1
3300803,3300506,39.7028359113319,4
3300803,3300803,15772.890894331777,1522
3300803,3301306,16.820227396070898,2
3300803,3301702,21.2251769542484,2
3300803,3301850,21.3749145943963,3
3300803,3301900,474.7060157956256,46
3300803,3302403,40.5878471861114,4
3300803,3302502,40.9973291930488,4
3300803,3302700,16.8087290751862,2
3300803,3303302,534.6723015659275,57
3300803,3303401,389.1126909765204,42
3300803,3303500,19.2706219411561,2
3300803,3303906,9.12795430471,1
3300803,3304300,26.5052448216043,3
3300803,3304524,47.7247902111795,5
3300803,3304557,997.3182717057177,97
3300803,3304904,153.7302741270906,15
3300803,3305208,7.4906564013905,1
3300803,3305505,10.0137784966286,1
3300803,3305554,10.5659219519283,1
3300803,3305802,47.5502562714523,4
3300803,3306305,11.1412788891629,1
3300803,3550308,32.118546260785,4
3300803,4118204,10.251687805761,1
3300803,4205407,8.0903339106975,1
3300803,8888888,16.0948779709668,2
3300902,2800308,4.4919082053901,1
3300902,3300159,380.7066885505108,75
3300902,3300902,4354.626462407913,839
3300902,3301009,62.4887001414217,12
3300902,3301157,5.8220051481793,1
3300902,3301603,4.5732400330291,1
3300902,3302056,18.5407330877052,3
3300902,3302106,116.7384225362649,22
3300902,3302205,71.93964962856379,15
3300902,3302403,75.29669222092211,15
3300902,3302452,11.4926488594158,2
3300902,3302601,6.9072840104325,1
3300902,3303005,3.8762388747602,1
3300902,3303302,8.5859418987702,2
3300902,3303401,14.4216700041742,2
3300902,3303906,5.7521192275241,1
3300902,3304557,44.380834080174196,9
3300902,3304706,29.409719577419203,6
3300902,3304755,6.3458653916532,1
3300902,3304805,17.201889443511,3
3300902,3305000,10.130970805965301,2
3300902,3305133,20.2969626365664,4
3300902,3550308,5.6908622815176,1
3300936,1302603,5.1843577722475,1
3300936,3199999,5.5900094560831,1
3300936,3205002,7.0763302374612,1
3300936,3299999,5.2250274925052,1
3300936,3300100,13.526908274584702,3
3300936,3300233,6.087235044946,1
3300936,3300936,2110.8645353183806,413
3300936,3301009,33.3626385577723,7
3300936,3301405,12.6190877818367,3
3300936,3301702,3.2614450583905,1
3300936,3302403,2227.095044949088,438
3300936,3304151,60.0552959875662,13
3300936,3304524,27.037676005483,6
3300936,3304557,23.4744396108637,5
3300936,3305208,5.51077133983,1
3300936,3399999,5.0707586986504,1
3300936,4101804,5.1211403248586,1
3300936,8888888,3.2359256724335,1
3300951,3101508,6.3390772930609,1
3300951,3106101,5.4771265863818,1
3300951,3136702,56.76034745612989,12
3300951,3140803,17.2546676907062,3
3300951,3158607,114.45555536528855,24
3300951,3167509,65.65034438050469,11
3300951,3300225,13.956888710887402,2
3300951,3300308,4.7476850602281,1
3300951,3300951,1580.2750152220851,327
3300951,3301702,5.898697521146,1
3300951,3302403,6.2455634780868,1
3300951,3303401,3.8053718451254,1
3300951,3303708,38.3973263204148,7
3300951,3303906,66.93405623132271,13
3300951,3304409,5.7132474606812,1
3300951,3304508,1.9177124757216,1
3300951,3304557,98.4829154351442,22
3300951,3305406,6.2456581578052,2
3300951,3306008,671.326798010211,132
3300951,3306305,8.4515074889237,2
3300951,3519071,8.0427237251795,2
3300951,3530607,5.5389449363991,1
3300951,3550308,30.0909832052606,7
3300951,8888888,3.3420571099708,1
3301009,2211001,10.7590371440348,1
3301009,2304400,9.0088522627207,1
3301009,2513703,10.7590371440348,1
3301009,2800308,40.1188413576159,4
3301009,2927408,10.2621707083162,1
3301009,2930709,7.5076138146592,1
3301009,2999999,10.9851155329915,1
3301009,3106200,9.7627968959418,1
3301009,3136702,17.6611578694713,2
3301009,3143906,10.1742782160113,1
3301009,3200607,16.4384089333756,2
3301009,3201209,30.1056793580278,3
3301009,3201308,9.6263785849041,1
3301009,3203320,9.2470067212716,1
3301009,3203403,34.2864039649704,3
3301009,3204906,9.1821498864632,1
3301009,3205002,7.7862587131877,1
3301009,3205200,9.9233476404917,1
3301009,3205309,160.16184121631932,16
3301009,3299999,11.2321162436994,1
3301009,3300100,48.229324273916006,4
3301009,3300209,22.1780980808972,2
3301009,3300233,10.9069264356484,1
3301009,3300456,11.7878364353047,1
3301009,3300506,10.8371432341453,1
3301009,3300605,94.2074685924102,10
3301009,3300704,175.0489648537237,17
3301009,3300902,21.9106016910587,2
3301009,3300936,21.255994903933498,2
3301009,3301009,130736.36444884713,12601
3301009,3301108,11.117742967191,1
3301009,3301157,155.6595951783378,15
3301009,3301306,21.9384894748299,2
3301009,3301405,64.3797637840498,6
3301009,3301702,52.366161742718695,5
3301009,3302056,72.4248374976397,6
3301009,3302205,137.167340699807,13
3301009,3302403,6572.582464462045,634
3301009,3303302,102.2733237844393,9
3301009,3303401,30.5508328130211,3
3301009,3303500,32.1752837129412,3
3301009,3304151,202.7192295135769,20
3301009,3304524,174.85479754733558,16
3301009,3304557,780.4825628741875,72
3301009,3304706,10.9689685992465,1
3301009,3304755,511.00743347288227,49
3301009,3304805,73.8156170318946,7
3301009,3304904,36.1428564409455,4
3301009,3305000,1373.5035989899065,132
3301009,3305604,10.3984043399925,1
3301009,3306305,19.821192813763,2
3301009,3399999,16.845215392249898,2
3301009,3509502,9.7428420641752,1
3301009,3521309,10.851301178686,1
3301009,3548500,74.5426039023335,7
3301009,3549904,9.9411299971707,1
3301009,3550308,60.0593018483555,6
3301009,3599999,9.9096316537815,1
3301009,4208203,11.8724612362459,1
3301009,4310330,11.314187492927,1
3301009,4317509,9.8539396978289,1
3301009,5300108,10.4356276619903,1
3301009,8888888,163.9780393918678,15
3301009,9999999,11.4160237972576,1
3301108,3110301,8.2983002160499,1
3301108,3300506,68.2035052308748,6
3301108,3301009,7.5136884110778,1
3301108,3301108,4906.341722091123,453
3301108,3301207,9.7546427189431,1
3301108,3301504,435.94912857076287,38
3301108,3301603,49.3579746079141,4
3301108,3302106,24.6762803009231,2
3301108,3302403,49.707189849676396,4
3301108,3302452,18.2408127134788,2
3301108,3303302,45.1929521925627,4
3301108,3303401,196.8445104032748,19
3301108,3303807,8.7470224931417,1
3301108,3304151,11.6152615382546,1
3301108,3304524,38.676247565006804,3
3301108,3304557,88.4381103378483,8
3301108,3304706,26.1424709683914,2
3301108,3304904,12.1330529244512,1
3301108,3305307,33.3943765438622,3
3301108,8888888,21.747195511275102,4
3301157,3106200,3.5233319766473,1
3301157,3143906,5.9378563128966,1
3301157,3170503,3.7586426451134,1
3301157,3205309,23.8153825276941,4
3301157,3300100,4.6482947268522,1
3301157,3300233,5.1992659879414,1
3301157,3300258,3.5937491722197,1
3301157,3300704,3.281319475136,1
3301157,3300902,5.8921663988259,1
3301157,3301009,357.15081291716507,71
3301157,3301157,2846.3931131374675,549
3301157,3302056,39.5000213500299,8
3301157,3302403,197.37130186239023,36
3301157,3303104,8.562255091262799,2
3301157,3303302,17.8630210291509,3
3301157,3304151,8.9582966991606,1
3301157,3304524,10.6618100549728,2
3301157,3304557,9.3467419156866,2
3301157,3304755,5.5653655733974,1
3301157,3304805,23.0277788650222,5
3301157,3305000,4.9105477424723,1
3301157,3518800,4.2862331389454,1
3301157,3529401,5.167120484373,1
3301207,2210805,9.2005481828482,2
3301207,2999999,4.7138084921224,1
3301207,3101508,314.55531342193046,58
3301207,3116209,10.1041218311553,2
3301207,3172004,5.5187062141306,1
3301207,3172103,9.9329827511846,2
3301207,3300233,4.9188116101281,1
3301207,3300407,5.7982678236021,1
3301207,3300506,5.1276088863506,1
3301207,3301009,18.5845273251366,4
3301207,3301108,105.22545371162398,20
3301207,3301207,5445.542861707242,1076
3301207,3301900,13.595228516389199,3
3301207,3302007,4.261937926706,1
3301207,3302403,4.9862558657628,1
3301207,3302452,5.7698668442135,1
3301207,3303302,5.0112635005763,1
3301207,3303401,22.966385676772198,4
3301207,3303906,5.4338670975294,1
3301207,3304201,4.5505963533012,1
3301207,3304524,5.6282094952818,1
3301207,3304557,50.4639317156444,10
3301207,3304904,5.8256165834425,1
3301207,3305307,6.7848788452651,1
3301207,3305406,286.1893291712468,57
3301207,3305703,74.40452673904429,15
3301207,3305802,11.404308944145,2
3301207,3306008,4.8414738221302,1
3301207,3506003,4.975435670615,1
3301207,3550308,6.0484465836242,1
3301207,8888888,5.1134497841653,1
3301306,3202405,10.4180269648906,1
3301306,3205309,5.4723493326272,1
3301306,3300100,10.9907463155433,1
3301306,3300233,40.6701183516204,4
3301306,3300407,14.3664929661699,1
3301306,3300704,259.78420705488656,24
3301306,3300803,5.7549421213515,1
3301306,3300902,10.016311000491,1
3301306,3301009,28.5106449012119,4
