id,commuters
RES_0547,31
RES_0548,209
RES_0549,164
RES_0550,844
RES_0551,575
RES_0552,240
RES_0553,1136
RES_0554,1188
RES_0555,155
RES_0556,715
RES_0557,218
RES_0558,322
RES_0559,258
RES_0560,383
RES_0561,445
RES_0562,812
RES_0563,145
RES_0564,1014
RES_0565,269
RES_0566,629
RES_0567,209
RES_0568,189
RES_0569,566
RES_0570,1376
RES_0571,784
RES_0572,719
RES_0573,1616
RES_0574,756
RES_0575,484
RES_0576,1363
RES_0577,624
RES_0578,69
RES_0579,182
RES_0580,184
RES_0581,138
RES_0582,797
RES_0583,1360
RES_0584,1331
RES_0585,308
RES_0586,371
RES_0587,1397
RES_0588,1584
RES_0589,1453
RES_0590,242
RES_0591,987
RES_0592,804
RES_0593,433
RES_0594,235
RES_0595,1061
RES_0596,7
RES_0597,392
RES_0598,757
RES_0599,452
RES_0600,981
RES_0601,1503
RES_0602,322
RES_0603,229
RES_0604,146
RES_0605,515
RES_0606,303
RES_0607,639
RES_0608,1894
RES_0609,927
RES_0610,273
RES_0611,1480
RES_0612,1773
RES_0613,1113
RES_0614,573
RES_0615,261
RES_0616,264
RES_0617,187
RES_0618,825
RES_0619,652
RES_0620,464
RES_0621,1493
RES_0622,1014
RES_0623,775
RES_0624,79
RES_0625,860
RES_0626,960
RES_0627,189
RES_0628,42
RES_0629,396
RES_0630,1524
RES_0631,1132
RES_0632,60
RES_0633,732
RES_0634,762
RES_0635,522
RES_0636,427
RES_0637,226
RES_0638,332
RES_0639,558
RES_0640,797
RES_0641,1414
RES_0642,850
RES_0643,33
RES_0644,601
RES_0645,1364
RES_0646,349
RES_0647,151
RES_0648,576
RES_0649,965
RES_0650,872
RES_0651,515
RES_0652,453
RES_0653,736
RES_0654,286
RES_0655,65
RES_0656,814
RES_0657,717
RES_0658,619
RES_0659,491
RES_0660,177
RES_0661,278
RES_0662,582
RES_0663,121
RES_0664,38
RES_0665,127
RES_0666,259
RES_0667,303
RES_0668,21
RES_0669,75
RES_0670,89
RES_0671,304
RES_0672,415
RES_0673,511
RES_0674,741
RES_0675,710
RES_0676,189
RES_0677,190
RES_0678,55
RES_0679,276
RES_0680,279
RES_0681,23
RES_0682,5
RES_0683,33
RES_0684,48
RES_0685,202
RES_0686,85
RES_0687,193
RES_0688,741
RES_0689,827
RES_0690,301
RES_0691,148
RES_0692,169
RES_0693,93
RES_0694,872
RES_0695,81
RES_0696,214
RES_0697,89
RES_0698,238
RES_0699,308
RES_0700,186
RES_0701,100
RES_0702,223
RES_0703,70
RES_0704,51
RES_0705,47
RES_0706,187
RES_0707,235
RES_0708,130
RES_0709,1056
RES_0710,23
RES_0711,520
RES_0712,715
RES_0713,1393
RES_0714,653
RES_0715,174
RES_0716,1146
RES_0717,2
RES_0718,307
RES_0719,14
RES_0720,12
RES_0721,33
RES_0722,4
RES_0723,144
RES_0724,45
RES_0725,81
RES_0726,27
RES_0727,104
RES_0728,41
RES_0729,4
RES_0730,58
RES_0731,18
RES_0732,52
RES_0733,45
RES_0734,24
RES_0735,51
RES_0736,16
RES_0737,112
RES_0738,25
RES_0739,6
RES_0740,1
RES_0741,1
RES_0742,236
RES_0743,95
RES_0744,178
RES_0745,600
RES_0746,134
RES_0747,163
RES_0748,131
RES_0749,54
RES_0750,92
RES_0751,0
RES_0752,126
RES_0753,69
RES_0754,61
RES_0755,65
RES_0756,59
RES_0757,104
RES_0758,124
RES_0759,121
RES_0760,207
RES_0761,100
RES_0762,45
RES_0763,2
RES_0764,50
RES_0765,68
RES_0766,112
RES_0767,70
RES_0768,3
RES_0769,12
RES_0770,90
RES_0771,3
RES_0772,66
RES_0773,5
RES_0774,3
RES_0775,9
RES_0776,8
RES_0777,386
RES_0778,141
RES_0779,1621
RES_0780,1479
RES_0781,74
RES_0782,889
RES_0783,937
RES_0784,102
RES_0785,94
RES_0786,232
RES_0787,360
RES_0788,119
RES_0789,1231
RES_0790,1057
RES_0791,55
RES_0792,182
RES_0793,191
RES_0794,198
RES_0795,7
RES_0796,552
RES_0797,183
RES_0798,294
RES_0799,263
RES_0800,641
RES_0801,6
RES_0802,238
RES_0803,29
RES_0804,21
RES_0805,204
RES_0806,140
RES_0807,59
RES_0808,316
RES_0809,345
RES_0810,135
RES_0811,244
RES_0812,2662
RES_0813,208
RES_0814,191
RES_0815,1464
RES_0816,660
RES_0817,78
RES_0818,2
RES_0819,69
RES_0820,682
RES_0821,714
RES_0822,406
RES_0823,181
RES_0824,168
RES_0825,421
RES_0826,108
RES_0827,1292
RES_0828,21
RES_0829,894
RES_0830,1044
RES_0831,6
RES_0832,278
RES_0833,131
RES_0834,87
RES_0835,371
RES_0836,414
RES_0837,1077
RES_0838,468
RES_0839,549
RES_0840,795
RES_0841,676
RES_0842,1150
RES_0843,209
RES_0844,98
RES_0845,52
RES_0846,384
RES_0847,148
RES_0848,618
RES_0849,38
RES_0850,673
RES_0851,145
RES_0852,296
RES_0853,162
RES_0854,114
RES_0855,386
RES_0856,289
RES_0857,644
RES_0858,304
RES_0859,401
RES_0860,772
RES_0861,67
RES_0862,313
RES_0863,140
RES_0864,410
RES_0865,845
RES_0866,260
RES_0867,40
RES_0868,44
RES_0869,60
RES_0870,640
RES_0871,437
RES_0872,7
RES_0873,13
RES_0874,15
RES_0875,126
RES_0876,317
RES_0877,381
RES_0878,90
RES_0879,312
RES_0880,256
RES_0881,79
RES_0882,289
RES_0883,365
RES_0884,126
RES_0885,66
RES_0886,694
RES_0887,321
RES_0888,131
RES_0889,140
RES_0890,63
RES_0891,36
RES_0892,49
RES_0893,160
RES_0894,504
RES_0895,151
RES_0896,57
RES_0897,13
RES_0898,44
RES_0899,6
RES_0900,10
RES_0901,56
RES_0902,69
RES_0903,21
RES_0904,6
RES_0905,167
RES_0906,143
RES_0907,64
RES_0908,30
RES_0909,75
RES_0910,21
RES_0911,522
RES_0912,735
RES_0913,48
RES_0914,251
RES_0915,563
RES_0916,237
RES_0917,712
RES_0918,140
RES_0919,68
RES_0920,257
RES_0921,153
RES_0922,6
RES_0923,248
RES_0924,378
RES_0925,232
RES_0926,198
RES_0927,1083
RES_0928,134
RES_0929,26
RES_0930,826
RES_0931,187
RES_0932,1
RES_0933,4
RES_0934,39
RES_0935,117
RES_0936,63
RES_0937,4
RES_0938,248
RES_0939,125
RES_0940,24
RES_0941,1
RES_0942,182
RES_0943,192
RES_0944,163
RES_0945,1396
RES_0946,359
RES_0947,176
RES_0948,1123
RES_0949,1211
RES_0950,34
RES_0951,59
RES_0952,63
RES_0953,406
RES_0954,273
RES_0955,70
RES_0956,148
RES_0957,501
RES_0958,593
RES_0959,130
RES_0960,1150
RES_0961,145
RES_0962,323
RES_0963,191
RES_0964,415
RES_0965,829
RES_0966,1043
RES_0967,425
RES_0968,313
RES_0969,33
RES_0970,919
RES_0971,867
RES_0972,159
RES_0973,202
RES_0974,1358
RES_0975,1198
RES_0976,200
RES_0977,909
RES_0978,1041
RES_0979,63
RES_0980,175
RES_0981,157
RES_0982,144
RES_0983,21
RES_0984,284
RES_0985,1157
RES_0986,779
RES_0987,759
RES_0988,668
RES_0989,191
RES_0990,25
RES_0991,67
RES_0992,16
RES_0993,4
RES_0994,123
RES_0995,157
RES_0996,482
RES_0997,77
RES_0998,154
RES_0999,6
RES_1000,33
RES_1001,13
RES_1002,293
RES_1003,39
RES_1004,118
RES_1005,401
RES_1006,28
RES_1007,180
RES_1008,25
RES_1009,110
RES_1010,450
RES_1011,98
RES_1012,137
RES_1013,7
RES_1014,371
RES_1015,71
RES_1016,117
RES_1017,61
RES_1018,22
RES_1019,8
RES_1020,0
RES_1021,2
RES_1022,7
RES_1023,11
RES_1024,37
RES_1025,10
RES_1026,1
RES_1027,12
RES_1028,115
RES_1029,33
RES_1030,215
RES_1031,99
RES_1032,50
RES_1033,406
RES_1034,14
RES_1035,403
RES_1036,18
RES_1037,73
RES_1038,14
RES_1039,12
RES_1040,210
RES_1041,237
RES_1042,187
RES_1043,641
RES_1044,34
RES_1045,621
RES_1046,141
RES_1047,69
RES_1048,8
RES_1049,197
RES_1050,112
RES_1051,15
RES_1052,62
RES_1053,68
RES_1054,16
RES_1055,385
RES_1056,676
RES_1057,472
RES_1058,10
RES_1059,171
RES_1060,148
RES_1061,631
RES_1062,594
RES_1063,704
RES_1064,211
RES_1065,6
RES_1066,13
RES_1067,104
RES_1068,1130
RES_1069,840
RES_1070,370
RES_1071,249
RES_1072,473
RES_1073,11
RES_1074,133
RES_1075,1544
RES_1076,1505
RES_1077,512
RES_1078,327
RES_1079,18
RES_1080,2
RES_1081,299
RES_1082,1305
