id,municipality_code,municipality,bairro,residents,resident_workers,jobs,lon,lat
RES_0099,3300456,Belford Roxo,Municipal total,2602,897,0,-43.421159,-22.7117139993273
RES_0100,3300456,Belford Roxo,Municipal total,543,185,0,-43.421113,-22.7070709993274
RES_0101,3300456,Belford Roxo,Municipal total,2040,669,0,-43.415683,-22.7240359993271
RES_0102,3300456,Belford Roxo,Municipal total,3452,1160,0,-43.414226,-22.7185559993272
RES_0103,3300456,Belford Roxo,Municipal total,1840,617,0,-43.41466,-22.7105139993274
RES_0104,3300456,Belford Roxo,Municipal total,2156,695,0,-43.416739,-22.7045669993275
RES_0105,3300456,Belford Roxo,Municipal total,1515,487,0,-43.408239,-22.7177219993272
RES_0106,3300456,Belford Roxo,Municipal total,694,219,0,-43.405377,-22.7130859993273
RES_0107,3300456,Belford Roxo,Municipal total,1080,348,0,-43.408328,-22.7189509993272
RES_0108,3300456,Belford Roxo,Municipal total,1637,525,0,-43.365416,-22.7598569993262
RES_0109,3300456,Belford Roxo,Municipal total,640,217,0,-43.365626,-22.7566459993263
RES_0110,3300456,Belford Roxo,Municipal total,732,241,0,-43.363099,-22.7598649993262
RES_0111,3300456,Belford Roxo,Municipal total,2427,811,0,-43.362901,-22.7539299993264
RES_0112,3300456,Belford Roxo,Municipal total,367,123,0,-43.362036,-22.7430319993266
RES_0113,3300456,Belford Roxo,Municipal total,505,173,0,-43.359375,-22.7408719993267
RES_0114,3300456,Belford Roxo,Municipal total,233,73,0,-43.35604,-22.7466889993265
RES_0115,3300456,Belford Roxo,Municipal total,144,48,0,-43.358004,-22.7418629993266
RES_0116,3300456,Belford Roxo,Municipal total,657,218,0,-43.356017,-22.7447129993266
RES_0117,3300456,Belford Roxo,Municipal total,533,169,0,-43.364594,-22.7542719993264
RES_0118,3300456,Belford Roxo,Municipal total,609,203,0,-43.36403,-22.7560909993263
RES_0119,3300456,Belford Roxo,Municipal total,1126,398,0,-43.381982,-22.7585779993263
RES_0120,3300456,Belford Roxo,Municipal total,2500,875,0,-43.381897,-22.7541709993264
RES_0121,3300456,Belford Roxo,Municipal total,3958,1303,0,-43.376139,-22.7582059993263
RES_0122,3300456,Belford Roxo,Municipal total,4307,1456,0,-43.37497,-22.7537629993264
RES_0123,3300456,Belford Roxo,Municipal total,1658,543,0,-43.374045,-22.7470599993265
RES_0124,3300456,Belford Roxo,Municipal total,2534,822,0,-43.369212,-22.7597829993262
RES_0125,3300456,Belford Roxo,Municipal total,3954,1307,0,-43.368446,-22.7535349993264
RES_0126,3300456,Belford Roxo,Municipal total,463,157,0,-43.369921,-22.7467029993265
RES_0127,3300456,Belford Roxo,Municipal total,512,172,0,-43.371483,-22.7429689993266
RES_0128,3300456,Belford Roxo,Municipal total,773,258,0,-43.373367,-22.7508099993264
RES_0129,3300456,Belford Roxo,Municipal total,4373,1450,0,-43.397785,-22.7597119993262
RES_0130,3300456,Belford Roxo,Municipal total,2654,885,0,-43.396509,-22.7553319993263
RES_0131,3300456,Belford Roxo,Municipal total,1038,388,0,-43.393116,-22.7583979993263
RES_0132,3300456,Belford Roxo,Municipal total,1722,563,0,-43.393173,-22.7552289993263
RES_0133,3300456,Belford Roxo,Municipal total,3276,1135,0,-43.389574,-22.7529539993264
RES_0134,3300456,Belford Roxo,Municipal total,5178,1684,0,-43.389854,-22.7472179993265
RES_0135,3300456,Belford Roxo,Municipal total,646,192,0,-43.388641,-22.7424949993266
RES_0136,3300456,Belford Roxo,Municipal total,2211,716,0,-43.384509,-22.7470409993265
RES_0137,3300456,Belford Roxo,Municipal total,2056,710,0,-43.38589,-22.7420679993266
RES_0138,3300456,Belford Roxo,Municipal total,4098,1392,0,-43.382267,-22.7383239993267
RES_0139,3300456,Belford Roxo,Municipal total,1334,455,0,-43.381324,-22.7343699993268
RES_0140,3300456,Belford Roxo,Municipal total,410,132,0,-43.379542,-22.7376279993267
RES_0141,3300456,Belford Roxo,Municipal total,591,191,0,-43.377186,-22.7351519993268
RES_0142,3300456,Belford Roxo,Municipal total,698,247,0,-43.379592,-22.7363719993268
RES_0143,3300456,Belford Roxo,Municipal total,1175,382,0,-43.381985,-22.7436609993266
RES_0144,3300456,Belford Roxo,Municipal total,678,226,0,-43.376936799999996,-22.74398195
RES_0145,3300456,Belford Roxo,Municipal total,4948,1636,0,-43.376146,-22.7392419993267
RES_0146,3300456,Belford Roxo,Municipal total,2784,899,0,-43.376551,-22.7320479993269
RES_0147,3300456,Belford Roxo,Municipal total,934,303,0,-43.373139,-22.727382999327
RES_0148,3300456,Belford Roxo,Municipal total,1800,604,0,-43.366294,-22.7388789993267
RES_0149,3300456,Belford Roxo,Municipal total,1473,490,0,-43.36741,-22.7341889993268
RES_0150,3300456,Belford Roxo,Municipal total,2728,925,0,-43.360665,-22.7378979993267
RES_0151,3300456,Belford Roxo,Municipal total,4175,1364,0,-43.360268,-22.7329549993268
RES_0152,3300456,Belford Roxo,Municipal total,1491,484,0,-43.353581,-22.7404179993267
RES_0153,3300456,Belford Roxo,Municipal total,2004,681,0,-43.354121,-22.7339809993268
RES_0154,3300456,Belford Roxo,Municipal total,323,102,0,-43.373155,-22.7302819993269
RES_0155,3300456,Belford Roxo,Municipal total,822,281,0,-43.370806,-22.7303499993269
RES_0156,3300456,Belford Roxo,Municipal total,692,220,0,-43.374785,-22.726869999327
RES_0157,3300456,Belford Roxo,Municipal total,304,99,0,-43.374408,-22.7404689993267
RES_0158,3300456,Belford Roxo,Municipal total,754,258,0,-43.367089,-22.7321509993269
RES_0159,3300456,Belford Roxo,Municipal total,2105,677,0,-43.359149,-22.7592129993262
RES_0160,3300456,Belford Roxo,Municipal total,2696,874,0,-43.359258,-22.7554349993263
RES_0161,3300456,Belford Roxo,Municipal total,1147,367,0,-43.354032,-22.7583639993263
RES_0162,3300456,Belford Roxo,Municipal total,4708,1533,0,-43.351751,-22.7539719993264
RES_0163,3300456,Belford Roxo,Municipal total,6562,2089,0,-43.346551,-22.7519559993264
RES_0164,3300456,Belford Roxo,Municipal total,952,303,0,-43.344528,-22.7498199993265
RES_0165,3300456,Belford Roxo,Municipal total,366,123,0,-43.33817915,-22.75116895
RES_0166,3300456,Belford Roxo,Municipal total,462,152,0,-43.33306,-22.7547159993264
RES_0167,3300456,Belford Roxo,Municipal total,153,52,0,-43.336429,-22.7496989993265
RES_0168,3300456,Belford Roxo,Municipal total,481,152,0,-43.331389200000004,-22.754329949999992
RES_0169,3300456,Belford Roxo,Municipal total,368,115,0,-43.35903,-22.7520679993264
RES_0170,3300456,Belford Roxo,Municipal total,1164,371,0,-43.355538,-22.7511889993264
RES_0171,3300456,Belford Roxo,Municipal total,2821,926,0,-43.352556,-22.7476259993265
RES_0172,3300456,Belford Roxo,Municipal total,2698,922,0,-43.343956,-22.7466949993265
RES_0173,3300456,Belford Roxo,Municipal total,2731,915,0,-43.345617,-22.7397849993267
RES_0174,3300456,Belford Roxo,Municipal total,1427,466,0,-43.338435,-22.7469769993265
RES_0175,3300456,Belford Roxo,Municipal total,1206,420,0,-43.338232,-22.7413769993266
RES_0176,3300456,Belford Roxo,Municipal total,558,185,0,-43.331769,-22.7437869993266
RES_0177,3300456,Belford Roxo,Municipal total,324,127,0,-43.349613,-22.7428469993266
RES_0178,3300456,Belford Roxo,Municipal total,322,111,0,-43.348754,-22.7427209993266
RES_0179,3300456,Belford Roxo,Municipal total,846,271,0,-43.341274,-22.7407329993267
RES_0180,3300456,Belford Roxo,Municipal total,503,162,0,-43.339614,-22.7407109993267
RES_0181,3300456,Belford Roxo,Municipal total,523,168,0,-43.332799,-22.7425819993266
RES_0182,3300456,Belford Roxo,Municipal total,3425,1164,0,-43.334915,-22.7415289993267
RES_0183,3300456,Belford Roxo,Municipal total,210,67,0,-43.33507623364535,-22.74355295
RES_0184,3300456,Belford Roxo,Municipal total,1887,621,0,-43.344855,-22.7361609993268
RES_0185,3300456,Belford Roxo,Municipal total,3694,1226,0,-43.344514,-22.7334679993268
RES_0186,3300456,Belford Roxo,Municipal total,2359,781,0,-43.335296,-22.7377629993267
RES_0187,3300456,Belford Roxo,Municipal total,5033,1668,0,-43.336115,-22.7319449993269
RES_0188,3300456,Belford Roxo,Municipal total,663,221,0,-43.339576,-22.728127999327
RES_0189,3300456,Belford Roxo,Municipal total,2219,742,0,-43.33094,-22.7389909993267
RES_0190,3300456,Belford Roxo,Municipal total,2436,800,0,-43.330214,-22.7310679993269
RES_0191,3300456,Belford Roxo,Municipal total,330,110,0,-43.332612,-22.727879999327
