id,municipality_code,population,cnefe_matched,dwelling_units,geo_level,old_lon,old_lat,lon,lat
RES_0658,3301702,1593,True,774,1.0,-43.283856442829745,-22.615293699999995,-43.284007,-22.6157269993296
RES_0659,3301702,1252,True,487,1.0,-43.28172285000001,-22.60948464999999,-43.282144,-22.6095299993297
RES_0660,3301702,453,True,221,1.0,-43.27849882446401,-22.6279038,-43.27828,-22.6281249993293
RES_0661,3301702,700,True,320,1.0,-43.27682025,-22.62480165,-43.276877,-22.6253029993293
RES_0662,3301702,1481,True,482,1.0,-43.274111369924725,-22.6053286,-43.276447,-22.6062639993298
RES_0663,3301702,319,True,160,1.0,-43.26845382083914,-22.602693749999993,-43.268846,-22.6028839993299
RES_0664,3301702,98,True,64,1.0,-43.2623467,-22.602316149999993,-43.266088,-22.6039319993299
RES_0665,3301702,352,False,0,,-43.28232645,-22.604806999999997,-43.28232645,-22.604806999999997
RES_0666,3301702,750,True,183,1.0,-43.27926890954362,-22.606322849999998,-43.279236,-22.6061859993298
RES_0667,3301702,819,True,227,1.0,-43.27448814088921,-22.603286750000002,-43.275005,-22.6037179993298
RES_0668,3301702,48,False,0,,-43.26963779396483,-22.5931352,-43.26963779396483,-22.5931352
RES_0669,3301702,185,True,92,1.0,-43.26699995478366,-22.58413305,-43.266762,-22.5859429993303
RES_0670,3301702,260,True,102,1.0,-43.255974150732584,-22.575408,-43.25749,-22.5759029993305
RES_0671,3301702,804,False,0,,-43.35982395,-22.67848455,-43.35982395,-22.67848455
RES_0672,3301702,1106,True,481,1.0,-43.35907535,-22.67287405,-43.358903,-22.6743189993282
RES_0673,3301702,1354,True,631,1.0,-43.3527551462936,-22.687236249999998,-43.351485,-22.6884079993279
RES_0674,3301702,1972,True,889,1.0,-43.35448890574759,-22.68255625,-43.353326,-22.682778999328
RES_0675,3301702,1861,True,772,1.0,-43.35662420775351,-22.674415699999997,-43.356723,-22.6744909993282
RES_0676,3301702,479,True,205,1.0,-43.35567277735817,-22.670129449999997,-43.355648,-22.6690359993283
RES_0677,3301702,524,True,218,1.0,-43.3486141,-22.688159,-43.348473,-22.6881959993279
RES_0678,3301702,146,True,82,1.0,-43.345555049999994,-22.646716149999996,-43.342059,-22.6518759993287
RES_0679,3301702,748,True,330,1.0,-43.33433095,-22.647674549999998,-43.333944,-22.6456009993289
RES_0680,3301702,784,True,379,1.0,-43.33190164610059,-22.64524085,-43.331733,-22.6453509993289
RES_0681,3301702,56,True,28,1.0,-43.3364186,-22.622598599999996,-43.336182,-22.6224149993294
RES_0682,3301702,12,True,7,1.0,-43.3329687136348,-22.6353669,-43.329797,-22.6312019993292
RES_0683,3301702,91,True,55,1.0,-43.329277661233505,-22.6184584,-43.332174,-22.6186029993295
RES_0684,3301702,128,True,59,1.0,-43.321638742005746,-22.610836799999994,-43.320872,-22.6095919993297
RES_0685,3301702,553,True,281,1.0,-43.3122282,-22.61857655,-43.311095,-22.6195109993295
RES_0686,3301702,238,True,108,1.0,-43.31775010340452,-22.600543750000003,-43.31868,-22.6001739993299
RES_0687,3301702,410,True,203,1.0,-43.31219831819064,-22.59529885,-43.313093,-22.59490799933
RES_0688,3301702,1893,True,792,1.0,-43.310783199999996,-22.605365049999996,-43.308767,-22.6056779993298
RES_0689,3301702,2117,True,801,1.0,-43.30647365235294,-22.602596500000004,-43.306614,-22.6008889993299
RES_0690,3301702,788,True,313,1.0,-43.30626455,-22.5907641,-43.306643,-22.5907809993301
RES_0691,3301702,406,True,206,1.0,-43.3053577,-22.589364949999997,-43.305291,-22.5895789993302
RES_0692,3301702,462,True,195,1.0,-43.29593452857395,-22.617657199999996,-43.303411,-22.6275079993293
RES_0693,3301702,220,True,111,1.0,-43.30318237395246,-22.611765049999995,-43.308841,-22.6133759993296
RES_0694,3301702,2402,True,882,1.0,-43.298596747760534,-22.602414849999995,-43.300125,-22.6019839993299
RES_0695,3301702,195,True,66,1.0,-43.300929094601884,-22.5957373,-43.301749,-22.5991519993299
RES_0696,3301702,605,True,213,1.0,-43.303394252306276,-22.58717995,-43.30345,-22.5869429993302
RES_0697,3301702,273,False,0,,-43.2994347,-22.58324585,-43.2994347,-22.58324585
RES_0698,3301702,660,True,184,1.0,-43.29125608237081,-22.599328499999995,-43.292052,-22.59905199933
RES_0699,3301702,796,True,202,2.0,-43.29309129616142,-22.597524200000002,-43.293107,-22.59755099933
RES_0700,3301702,439,False,0,,-43.28265231596592,-22.60317525,-43.28265231596592,-22.60317525
RES_0701,3301702,294,True,114,1.0,-43.28191767140096,-22.58363085,-43.279664,-22.5833719993303
RES_0702,3301702,591,False,0,,-43.287898426508434,-22.581043649999998,-43.287898426508434,-22.581043649999998
RES_0703,3301702,185,False,0,,-43.28747577158806,-22.572682699999998,-43.28747577158806,-22.572682699999998
RES_0704,3301702,109,False,0,,-43.278563342,-22.592376750000003,-43.278563342,-22.592376750000003
RES_0705,3301702,127,True,71,1.0,-43.33243338487502,-22.571787150000006,-43.332656,-22.5721329993306
RES_0706,3301702,481,True,218,1.0,-43.32493630289879,-22.602370649999997,-43.324753,-22.6019539993299
RES_0707,3301702,613,False,0,,-43.321318649999995,-22.596845999999996,-43.321318649999995,-22.596845999999996
RES_0708,3301702,349,True,160,1.0,-43.32614091460454,-22.5760644,-43.325568,-22.5742759993305
RES_0709,3301702,2738,True,1119,1.0,-43.314074250000004,-22.591796449999997,-43.31401,-22.5922119993301
RES_0710,3301702,57,False,0,,-43.31840692638475,-22.585170249999997,-43.31840692638475,-22.585170249999997
RES_0711,3301702,1329,True,535,1.0,-43.31452133488676,-22.57198555,-43.31486,-22.5722189993306
RES_0712,3301702,1883,True,934,1.0,-43.30693529471658,-22.585169649999997,-43.307079,-22.5863289993302
RES_0713,3301702,3505,True,1471,1.0,-43.30548152672156,-22.581129899999997,-43.306094,-22.5802289993304
RES_0714,3301702,1768,True,798,1.0,-43.31011035,-22.572379199999997,-43.308449,-22.5738469993305
RES_0715,3301702,473,True,204,1.0,-43.3029458,-22.584015800000003,-43.302935,-22.5839749993303
RES_0716,3301702,2980,True,1237,1.0,-43.30188905440207,-22.580217350000005,-43.300433,-22.5800719993304
RES_0717,3301702,6,False,0,,-43.301252899999994,-22.574549999999995,-43.301252899999994,-22.574549999999995
RES_0718,3301702,800,True,305,1.0,-43.29564945157363,-22.5812076,-43.295534,-22.5810109993304
RES_0719,3301702,38,True,27,1.0,-43.24969695,-22.573540149999996,-43.24394,-22.5706899993306
RES_0720,3301702,33,False,0,,-43.24826217421662,-22.615965349999996,-43.24826217421662,-22.615965349999996
RES_0721,3301702,85,True,75,1.0,-43.24058945,-22.6023282,-43.238633,-22.6016999993299
RES_0722,3301702,9,True,2,1.0,-43.23156576429163,-22.600989499999997,-43.229024,-22.6100879993297
RES_0723,3301702,394,True,213,1.0,-43.415049749999994,-22.59508055,-43.415083,-22.59489699933
RES_0724,3301702,119,False,0,,-43.410535776869374,-22.608203849999995,-43.410535776869374,-22.608203849999995
RES_0725,3301702,211,True,117,1.0,-43.382349950000005,-22.65902655,-43.38807,-22.6568689993286
RES_0726,3301702,74,True,58,1.0,-43.387945900000005,-22.58536735,-43.38923,-22.5938949993301
RES_0727,3301702,283,False,0,,-43.3779279230055,-22.598255049999995,-43.3779279230055,-22.598255049999995
RES_0728,3301702,101,True,66,1.0,-43.370991996883234,-22.645533049999997,-43.380842,-22.641059999329
RES_0729,3301702,9,True,3,1.0,-43.35938525262178,-22.637575299999995,-43.362882,-22.637627999329
RES_0730,3301702,163,True,110,1.0,-43.359282118161175,-22.6067453,-43.357805,-22.6040819993298
RES_0731,3301702,47,False,0,,-43.3536553,-22.6261194,-43.3536553,-22.6261194
RES_0732,3301702,137,False,0,,-43.347353049197736,-22.617647199999993,-43.347353049197736,-22.617647199999993
RES_0733,3301702,127,True,73,1.0,-43.346339400000005,-22.596675599999998,-43.34703,-22.59688499933
RES_0734,3301702,63,True,47,1.0,-43.34996800034594,-22.57870154999999,-43.356718,-22.5776139993305
RES_0735,3301702,142,False,0,,-43.33044611932515,-22.605809700000002,-43.33044611932515,-22.605809700000002
RES_0736,3301702,40,True,17,1.0,-43.27488288977574,-22.579518250000003,-43.276195,-22.5756279993305
RES_0737,3301702,297,True,206,1.0,-43.269027925870176,-22.574417099999998,-43.27022,-22.5729889993306
RES_0738,3301702,68,True,92,1.0,-43.260722799999996,-22.591894750000005,-43.258541,-22.5857379993303
RES_0739,3301801,124,True,101,1.0,-43.67409281766129,-22.575363450000005,-43.673855,-22.5751029993305
RES_0740,3301801,17,False,0,,-43.6759924,-22.57080235,-43.6759924,-22.57080235
RES_0741,3301801,26,True,29,1.0,-43.6692647,-22.577755899999993,-43.665002,-22.5746879993305
RES_0742,3301850,966,True,391,1.0,-43.02460780571684,-22.670054750000002,-43.02563,-22.6701699993283
RES_0743,3301850,379,True,147,1.0,-43.02502233717949,-22.6663887,-43.024746,-22.6663439993284
RES_0744,3301850,681,True,263,1.0,-43.019279450636276,-22.67035675,-43.019654,-22.6703789993283
RES_0745,3301850,2402,True,991,1.0,-43.0199452,-22.666344550000005,-43.019388,-22.6656549993284
RES_0746,3301850,540,True,236,1.0,-43.02020772757827,-22.656260950000004,-43.020329,-22.6571179993286
RES_0747,3301850,660,True,333,1.0,-43.01754469644977,-22.647084000000003,-43.01793,-22.6470209993288
RES_0748,3301850,540,False,0,,-43.0096104442625,-22.659531799999996,-43.0096104442625,-22.659531799999996
RES_0749,3301850,221,True,91,1.0,-43.00849537249984,-22.64936795,-43.007692,-22.6501049993288
RES_0750,3301850,380,True,155,1.0,-43.0108965924899,-22.586537499999995,-43.010565,-22.5866909993302
RES_0751,3301850,1,False,0,,-43.01282925,-22.580106049999998,-43.01282925,-22.580106049999998
