origin,destination,observed_2010_expanded,observed_2022_pair,seed_from_2022_containment_2010_shares,balanced_target,change_from_seed,status,actual,target_error,difference_from_historical_2010,historical_change_percent
3301702,3302270,41.6683489669339,,28.56600629284187,230,201.43399370715812,"historical 2010 survey prior, adjusted to modeled margins",230,0,188.3316510330661,451.97771378587015
3301702,3302502,1178.5934279825328,,772.8368765440629,1492,719.1631234559371,"historical 2010 survey prior, adjusted to modeled margins",1492,0,313.40657201746717,26.59157641443356
3301702,3302601,39.340799325289495,,0.107456983646665,3,2.892543016353335,"historical 2010 survey prior, adjusted to modeled margins",3,0,-36.340799325289495,-92.37432881016348
3301702,3302700,63.7648624846148,,20.11986360061452,210,189.8801363993855,"historical 2010 survey prior, adjusted to modeled margins",210,0,146.2351375153852,229.3349845311261
3301702,3302809,0.0,,0.0,0,0.0,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301702,3302858,76.3081585484079,,52.19515819460429,131,78.80484180539571,"historical 2010 survey prior, adjusted to modeled margins",131,0,54.6918414515921,71.67233817717803
3301702,3302908,0.0,,5.966790841152432e-07,0,-5.966790841152432e-07,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301702,3303203,171.20714915222374,,116.29060620743506,96,-20.29060620743506,"historical 2010 survey prior, adjusted to modeled margins",96,0,-75.20714915222374,-43.92757517698956
3301702,3303302,1739.3626007722198,,1178.7783870054714,781,-397.77838700547136,"historical 2010 survey prior, adjusted to modeled margins",781,0,-958.3626007722198,-55.09849414646138
3301702,3303500,1536.2053004513575,,1041.257081261207,598,-443.2570812612071,"historical 2010 survey prior, adjusted to modeled margins",598,0,-938.2053004513575,-61.07291129484453
3301702,3303609,0.0,,0.2977708446696517,3,2.702229155330348,"historical 2010 survey prior, adjusted to modeled margins",3,0,3.0,
3301702,3303906,445.66080666794295,,0.0592091096106502,7,6.94079089038935,"historical 2010 survey prior, adjusted to modeled margins",7,0,-438.66080666794295,-98.42929871883133
3301702,3304003,19.1212967206197,,5.350372188529419,673,667.6496278114706,"historical 2010 survey prior, adjusted to modeled margins",673,0,653.8787032793803,3419.63577488059
3301702,3304144,112.83517144513682,,76.87287637148677,173,96.12712362851325,"historical 2010 survey prior, adjusted to modeled margins",173,0,60.16482855486318,53.32098829141831
3301702,3304409,0.0,,2.9717237903151874e-05,0,-2.9717237903151874e-05,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301702,3304557,97167.90762398766,,65686.31527242009,64889,-797.3152724200918,"historical 2010 survey prior, adjusted to modeled margins",64889,0,-32278.90762398766,-33.21972080421646
3301702,3304904,224.1909839902925,,155.19225328867734,0,-155.19225328867734,"historical 2010 survey prior, adjusted to modeled margins",0,0,-224.1909839902925,-100.0
3301702,3305109,3241.793247851156,,2191.7397295239007,1207,-984.7397295239008,"historical 2010 survey prior, adjusted to modeled margins",1207,0,-2034.7932478511561,-62.76752069861124
3301702,3305554,19.6755659960405,,13.81952752106298,51,37.18047247893702,"historical 2010 survey prior, adjusted to modeled margins",51,0,31.3244340039595,159.20474160826282
3301801,3300456,0.0,,0.0002931868083318,0,-0.0002931868083318,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3300803,0.0,,1.769145342530149e-07,0,-1.769145342530149e-07,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3301702,6.2616265764918,,0.0902161364383257,0,-0.0902161364383257,"historical 2010 survey prior, adjusted to modeled margins",0,0,-6.2616265764918,-100.0
3301801,3301801,3443.0440715119407,,0.215862699298323,0,-0.215862699298323,2022 local containment,0,0,-3443.0440715119407,-100.0
3301801,3301850,0.0,,1.0887283032656136e-05,0,-1.0887283032656136e-05,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3301900,0.0,,0.0001691193257171,0,-0.0001691193257171,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3302007,61.6985673145759,,0.8819157214461829,0,-0.8819157214461829,"historical 2010 survey prior, adjusted to modeled margins",0,0,-61.6985673145759,-100.0
3301801,3302270,0.0,,6.706221591128703e-05,0,-6.706221591128703e-05,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3302502,0.0,,0.0001605622259648,0,-0.0001605622259648,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3302601,0.0,,2.024967839888588e-09,0,-2.024967839888588e-09,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3302700,0.0,,3.982270517093997e-05,0,-3.982270517093997e-05,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3302809,250.73833609585483,,0.0,0,0.0,"historical 2010 survey prior, adjusted to modeled margins",0,0,-250.73833609585483,-100.0
3301801,3302858,0.0,,0.0001038944497921,0,-0.0001038944497921,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3302908,71.5438234006795,,0.0008215905131301,0,-0.0008215905131301,"historical 2010 survey prior, adjusted to modeled margins",0,0,-71.5438234006795,-100.0
3301801,3303203,0.0,,0.0001027234283927,0,-0.0001027234283927,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301801,3303302,2.1125722180964,,0.0308121674835127,0,-0.0308121674835127,"historical 2010 survey prior, adjusted to modeled margins",0,0,-2.1125722180964,-100.0
3301801,3303500,14.5370859133176,,0.2083454844047181,0,-0.2083454844047181,"historical 2010 survey prior, adjusted to modeled margins",0,0,-14.5370859133176,-100.0
