id,municipality_code,population,census_worker_estimate,employed_pnad_calibrated,non_employed_estimated
RES_5260,3304557,200,86,97,103
RES_5261,3304557,855,388,437,418
RES_5262,3304557,117,49,55,62
RES_5263,3304557,6667,3335,3753,2914
RES_5264,3304557,202,93,105,97
RES_5265,3304557,45,20,22,23
RES_5266,3304557,1640,764,860,780
RES_5267,3304557,1152,483,543,609
RES_5268,3304557,137,77,87,50
RES_5269,3304557,375,163,183,192
RES_5270,3304557,9301,4330,4872,4429
RES_5271,3304557,1866,891,1003,863
RES_5272,3304557,283,123,138,145
RES_5273,3304557,325,155,174,151
RES_5274,3304557,3198,1644,1850,1348
RES_5275,3304557,6704,3286,3697,3007
RES_5276,3304557,2348,1099,1237,1111
RES_5277,3304557,5573,2649,2981,2592
RES_5278,3304557,2444,1163,1309,1135
RES_5279,3304557,5345,2745,3089,2256
RES_5280,3304557,6488,2939,3307,3181
RES_5281,3304557,4352,1932,2174,2178
RES_5282,3304557,2430,1110,1249,1181
RES_5283,3304557,1345,586,659,686
RES_5284,3304557,6505,2829,3183,3322
RES_5285,3304557,3865,1726,1942,1923
RES_5286,3304557,1687,834,938,749
RES_5287,3304557,255,110,124,131
RES_5288,3304557,8189,3587,4036,4153
RES_5289,3304557,6252,2721,3062,3190
RES_5290,3304557,3779,1673,1882,1897
RES_5291,3304557,2039,896,1008,1031
RES_5292,3304557,8333,3629,4083,4250
RES_5293,3304557,2373,1061,1194,1179
RES_5294,3304557,624,362,407,217
RES_5295,3304557,3965,1741,1959,2006
RES_5296,3304557,1784,923,1039,745
RES_5297,3304557,3119,1461,1644,1475
RES_5298,3304557,498,239,269,229
RES_5299,3304557,755,355,399,356
RES_5300,3304557,217,98,110,107
RES_5301,3304557,661,306,344,317
RES_5302,3304557,333,179,201,132
RES_5303,3304557,158,74,83,75
RES_5304,3304557,341,168,189,152
RES_5305,3304557,111,48,54,57
RES_5306,3304557,1894,962,1082,812
RES_5307,3304557,3789,1973,2220,1569
RES_5308,3304557,288,161,181,107
RES_5309,3304557,3535,1851,2083,1452
RES_5310,3304557,2765,1512,1701,1064
RES_5311,3304557,328,167,188,140
RES_5312,3304557,4962,2592,2917,2045
RES_5313,3304557,187,94,106,81
RES_5314,3304557,1319,756,851,468
RES_5315,3304557,1200,620,698,502
RES_5316,3304557,216,106,119,97
RES_5317,3304557,719,373,420,299
RES_5318,3304557,20,9,10,10
RES_5319,3304557,164,81,91,73
RES_5320,3304557,594,254,286,308
RES_5321,3304557,1104,472,531,573
RES_5322,3304557,781,351,395,386
RES_5323,3304557,2698,1169,1315,1383
RES_5324,3304557,6565,2875,3235,3330
RES_5325,3304557,7041,3040,3421,3620
RES_5326,3304557,631,278,313,318
RES_5327,3304557,4046,1737,1954,2092
RES_5328,3304557,214,101,114,100
RES_5329,3304557,558,234,263,295
RES_5330,3304557,1828,837,942,886
RES_5331,3304557,372,158,178,194
RES_5332,3304557,39,17,19,20
RES_5333,3304557,309,132,149,160
RES_5334,3304557,38,17,19,19
RES_5335,3304557,2302,1024,1152,1150
RES_5336,3304557,2101,913,1027,1074
RES_5337,3304557,5122,2360,2655,2467
RES_5338,3304557,1288,599,674,614
RES_5339,3304557,1518,747,841,677
RES_5340,3304557,5215,2381,2679,2536
RES_5341,3304557,8285,3852,4334,3951
RES_5342,3304557,420,201,226,194
RES_5343,3304557,3384,1544,1737,1647
RES_5344,3304557,586,230,259,327
RES_5345,3304557,4645,2083,2344,2301
RES_5346,3304557,2584,1287,1448,1136
RES_5347,3304557,119,50,56,63
RES_5348,3304557,1704,719,809,895
RES_5349,3304557,3169,1403,1579,1590
RES_5350,3304557,3119,1345,1513,1606
RES_5351,3304557,654,284,320,334
RES_5352,3304557,1499,700,788,711
RES_5353,3304557,653,278,313,340
RES_5354,3304557,217,102,115,102
RES_5355,3304557,1495,656,738,757
RES_5356,3304557,123,54,61,62
RES_5357,3304557,2858,1236,1391,1467
RES_5358,3304557,1538,650,731,807
RES_5359,3304557,4074,1775,1997,2077
RES_5360,3304557,232,104,117,115
RES_5361,3304557,262,120,135,127
RES_5362,3304557,963,431,485,478
RES_5363,3304557,553,244,275,278
RES_5364,3304557,688,321,361,327
RES_5365,3304557,3026,1306,1470,1556
RES_5366,3304557,6036,2720,3061,2975
RES_5367,3304557,1035,451,507,528
RES_5368,3304557,95,39,44,51
RES_5369,3304557,3349,1527,1718,1631
RES_5370,3304557,1440,670,754,686
RES_5371,3304557,332,130,146,186
RES_5372,3304557,411,224,252,159
RES_5373,3304557,6127,2602,2928,3199
RES_5374,3304557,5635,2521,2837,2798
RES_5375,3304557,5080,2169,2441,2639
RES_5376,3304557,4157,1816,2043,2114
RES_5377,3304557,1020,461,519,501
RES_5378,3304557,5666,2619,2947,2719
RES_5379,3304557,8613,4055,4563,4050
RES_5380,3304557,947,403,453,494
RES_5381,3304557,1895,873,982,913
RES_5382,3304557,6093,2677,3012,3081
RES_5383,3304557,8498,3659,4117,4381
RES_5384,3304557,3318,1434,1614,1704
RES_5385,3304557,391,191,215,176
RES_5386,3304557,4360,1954,2199,2161
RES_5387,3304557,3535,1533,1725,1810
RES_5388,3304557,2026,873,982,1044
RES_5389,3304557,5,2,2,3
RES_5390,3304557,129,60,68,61
RES_5391,3304557,1252,562,632,620
RES_5392,3304557,5751,2621,2949,2802
RES_5393,3304557,995,476,536,459
RES_5394,3304557,530,254,286,244
RES_5395,3304557,212,105,118,94
RES_5396,3304557,258,105,118,140
RES_5397,3304557,2320,1007,1133,1187
RES_5398,3304557,2745,1191,1340,1405
RES_5399,3304557,699,281,316,383
