id,municipality_code,census_population,age_15_59_measured_or_suppression_proxy,census_municipal_employment_calibrated
RES_0264,3300456,1241,832.0,454
RES_0265,3300456,914,602.0,328
RES_0266,3300456,2158,1393.0,759
RES_0267,3300456,3329,2142.0,1168
RES_0268,3300456,1308,899.0,490
RES_0269,3300456,558,386.0,210
RES_0270,3300456,971,576.0,314
RES_0271,3300456,151,93.0,51
RES_0272,3300456,790,496.0,270
RES_0273,3300456,271,178.0,97
RES_0274,3300803,215,141.0,93
RES_0275,3300803,121,73.0,48
RES_0276,3300803,172,96.0,64
RES_0277,3300803,360,223.0,148
RES_0278,3300803,160,101.70303030303032,67
RES_0279,3300803,92,54.0,36
RES_0280,3300803,185,123.77037037037036,82
RES_0281,3300803,92,54.92407809110628,36
RES_0282,3300803,121,81.96923076923078,54
RES_0283,3300803,18,10.982817869415799,7
RES_0284,3301702,2565,1715.0,1065
RES_0285,3301702,5341,3355.0,2083
RES_0286,3301702,1402,875.0,543
RES_0287,3301702,906,597.963594001735,371
RES_0288,3301702,3072,1948.111652001487,1210
RES_0289,3301702,5460,3503.0,2175
RES_0290,3301702,4471,2836.0,1761
RES_0291,3301702,334,213.0,132
RES_0292,3301702,5262,3348.0,2079
RES_0293,3301702,720,479.0,297
RES_0294,3301702,443,252.0,156
RES_0295,3301702,1848,1110.0,689
RES_0296,3301702,2730,1755.0,1090
RES_0297,3301702,5296,3428.0,2129
RES_0298,3301702,1326,827.0,514
RES_0299,3301702,5116,3301.3349560044617,2050
RES_0300,3301702,2678,1675.0,1040
RES_0301,3301702,1852,1189.0,738
RES_0302,3301702,1825,1115.0,692
RES_0303,3301702,1524,920.0,571
RES_0304,3301702,1253,746.0,463
RES_0305,3301702,2760,1661.765777667617,1032
RES_0306,3301702,6966,4344.0,2697
RES_0307,3301702,1573,937.0,582
RES_0308,3301702,566,348.0,216
RES_0309,3301702,2362,1414.0,878
RES_0310,3301702,4709,2974.0,1847
RES_0311,3301702,1995,1307.0,812
RES_0312,3301702,363,230.0,143
RES_0313,3301702,4413,2803.0,1740
RES_0314,3301702,4154,2541.0,1578
RES_0315,3301702,2116,1327.0,824
RES_0316,3301702,7551,4966.0,3083
RES_0317,3301702,8246,5106.0,3170
RES_0318,3301702,1255,796.0,494
RES_0319,3301702,1945,1283.0,797
RES_0320,3301702,872,554.0,344
RES_0321,3301702,1359,837.0,520
RES_0322,3301702,1714,1094.0,679
RES_0323,3301702,944,604.0,375
RES_0324,3301702,3166,2049.0,1272
RES_0325,3301702,2620,1693.0,1051
RES_0326,3301702,1583,1031.0,640
RES_0327,3301702,5690,3611.0,2242
RES_0328,3301702,2447,1573.0,977
RES_0329,3301702,390,231.0,143
RES_0330,3301702,334,207.0,129
RES_0331,3301702,1382,903.0,561
RES_0332,3301702,1264,829.0,515
RES_0333,3301702,2326,1450.0,900
RES_0334,3301702,357,211.0,131
RES_0335,3301702,10253,6490.0,4030
RES_0336,3301702,2150,1364.0,847
RES_0337,3301702,1077,712.0,442
RES_0338,3301702,2956,1867.0,1159
RES_0339,3301702,549,339.0,211
RES_0340,3301702,1255,780.0,484
RES_0341,3301702,4747,3055.0,1897
RES_0342,3301702,1925,1257.0,781
RES_0343,3301702,8068,5209.0,3234
RES_0344,3301702,6190,3988.0,2476
RES_0345,3301702,253,173.0,107
RES_0346,3301702,2826,1844.0,1145
RES_0347,3301702,5119,3338.0,2073
RES_0348,3301702,1916,1246.0,774
RES_0349,3301702,28,17.975729334490026,11
RES_0350,3301702,899,560.0,348
RES_0351,3301702,923,577.0,358
RES_0352,3301702,394,254.0,158
RES_0353,3301702,1625,998.0,620
RES_0354,3301702,2671,1692.0,1051
RES_0355,3301702,4386,2749.0,1707
RES_0356,3301702,6666,4146.0,2574
RES_0357,3301702,924,625.0,388
RES_0358,3301702,1765,1128.0,700
RES_0359,3301702,6471,4061.0,2522
RES_0360,3301702,1904,1249.0,776
RES_0361,3301702,201,124.0,77
RES_0362,3301702,2824,1818.0,1129
RES_0363,3301702,501,329.0,204
RES_0364,3301702,749,497.0,309
RES_0365,3301702,4652,3126.0,1941
RES_0366,3301702,1765,1187.0,737
RES_0367,3301702,4266,2827.0,1755
RES_0368,3301702,1670,1099.0,682
RES_0369,3301702,788,508.0,315
RES_0370,3301702,1292,758.0,471
RES_0371,3301702,117,63.0,39
RES_0372,3301702,1256,868.0,539
RES_0373,3301702,301,187.0,116
RES_0374,3301702,1329,830.0,515
RES_0375,3301702,612,391.0,243
RES_0376,3301702,135,86.0,53
RES_0377,3301702,337,209.0,130
RES_0378,3301702,3399,2105.0,1307
RES_0379,3301702,4351,2756.0,1711
RES_0380,3301702,1382,870.0,540
RES_0381,3301702,3997,2489.0,1545
RES_0382,3301702,9551,6059.0,3762
RES_0383,3301702,6327,3999.0,2483
RES_0384,3301702,1260,802.0,498
RES_0385,3301702,4138,2719.0,1688
RES_0386,3301702,3991,2542.0,1578
RES_0387,3301702,467,304.0,189
RES_0388,3301702,2281,1405.0,872
RES_0389,3301702,3004,1885.0,1170
RES_0390,3301702,5572,3496.2354393357296,2171
RES_0391,3301702,5505,3386.0,2102
RES_0392,3301702,1095,656.0,407
RES_0393,3301702,5662,3600.0,2235
RES_0394,3301702,1694,1054.0,654
RES_0395,3301702,1305,980.0,609
RES_0396,3301702,1021,665.0,413
RES_0397,3301702,4281,2749.0,1707
RES_0398,3301702,1310,847.0,526
RES_0399,3301702,472,315.0,196
RES_0400,3301702,1412,887.0,551
RES_0401,3301702,8267,5370.0,3334
RES_0402,3301702,4747,3092.0,1920
RES_0403,3301702,333,219.0,136
RES_0404,3301702,2282,1431.0,889
RES_0405,3301702,638,381.0,237
