id,road_connector_m,over_1500m
RES_0363,69.08082807679942,False
RES_0364,0.9740816887630716,False
RES_0365,36.136178434473486,False
RES_0366,19.3225578834048,False
RES_0367,67.12930995332943,False
RES_0368,43.44616838929315,False
RES_0369,8.048676835171067,False
RES_0370,10.390450000308794,False
RES_0371,1.6792931819212473,False
RES_0372,150.24143767051928,False
RES_0373,41.590895811375105,False
RES_0374,34.998074765328525,False
RES_0375,36.41243746955168,False
RES_0376,37.627400924554834,False
RES_0377,53.432327792652096,False
RES_0378,11.358278666385182,False
RES_0379,50.36707294527549,False
RES_0380,3.189091545712939,False
RES_0381,58.889610301640396,False
RES_0382,9.43558446839348,False
RES_0383,7.866652002127822,False
RES_0384,80.96552176042701,False
RES_0385,15.280819556584612,False
RES_0386,39.42562032640002,False
RES_0387,61.194900400403334,False
RES_0388,34.88811124439795,False
RES_0389,65.33307668460255,False
RES_0390,63.71494919854087,False
RES_0391,42.58692998355176,False
RES_0392,103.47832820883163,False
RES_0393,97.89803403027385,False
RES_0394,43.80559756410704,False
RES_0395,44.48130365867135,False
RES_0396,76.87135347193154,False
RES_0397,50.932712714659026,False
RES_0398,11.09518211202941,False
RES_0399,13.339715461570487,False
RES_0400,12.45997460695427,False
RES_0401,17.585047210783266,False
RES_0402,35.044961980412204,False
RES_0403,53.75972342375123,False
RES_0404,23.629786213445556,False
RES_0405,36.41642828107563,False
RES_0406,10.432548996044163,False
RES_0407,27.268462255937308,False
RES_0408,43.869452881678164,False
RES_0409,11.992859017000086,False
RES_0410,2.015419249249396,False
RES_0411,9.699161330575201,False
RES_0412,8.842752163179584,False
RES_0413,13.834991012310036,False
RES_0414,2.5077120328055877,False
RES_0415,70.67268509329665,False
RES_0416,31.529158506713138,False
RES_0417,2.9378076159393904,False
RES_0418,2.8620448088216586,False
RES_0419,8.251527186178073,False
RES_0420,8.370331909493885,False
RES_0421,18.749696548565687,False
RES_0422,13.665137829628659,False
RES_0423,34.703167809359144,False
RES_0424,36.102699442188616,False
RES_0425,3.1899883173910664,False
RES_0426,12.987696922604798,False
RES_0427,9.494279701688662,False
RES_0428,12.080408020052658,False
RES_0429,4.7763739313311655,False
RES_0430,12.466821773487286,False
RES_0431,38.27489080099452,False
RES_0432,9.913920249984049,False
RES_0433,5.648718760890621,False
RES_0434,83.59125532492295,False
RES_0435,22.16798107169653,False
RES_0436,70.19789912656235,False
RES_0437,30.190784050984757,False
RES_0438,38.21655811487201,False
RES_0439,50.606249020479055,False
RES_0440,38.01262181783294,False
RES_0441,30.457463325182598,False
RES_0442,18.640076489039338,False
RES_0443,6.096272821451698,False
RES_0444,55.28788861080104,False
RES_0445,9.1749496672286,False
RES_0446,103.22727502445328,False
RES_0447,17.404284725926665,False
RES_0448,36.60519549703371,False
RES_0449,7.912206670862074,False
RES_0450,23.426161630106957,False
RES_0451,17.80922764111682,False
RES_0452,15.59467364209162,False
RES_0453,75.75542016640362,False
RES_0454,7.003864679948694,False
RES_0455,6.726008785963381,False
RES_0456,4.870410067544398,False
RES_0457,48.10264725852199,False
RES_0458,15.123501376386292,False
RES_0459,74.14304335919309,False
RES_0460,5.431652359655019,False
RES_0461,14.97334962922234,False
RES_0462,9.875683259444704,False
RES_0463,14.084797198724232,False
RES_0464,4.013981805253612,False
RES_0465,17.689717995596055,False
RES_0466,21.53830197956254,False
RES_0467,66.65763685325885,False
RES_0468,24.98941011397978,False
RES_0469,115.69232306055144,False
RES_0470,24.127132134284977,False
RES_0471,37.751694499480884,False
RES_0472,10.79133540698876,False
RES_0473,44.621234333511055,False
RES_0474,4.370303350730266,False
RES_0475,24.04996498990284,False
RES_0476,6.933994615767739,False
RES_0477,18.40890106629656,False
RES_0478,24.527196056615477,False
RES_0479,16.54464803348789,False
RES_0480,27.8417529950676,False
RES_0481,60.971525645458605,False
RES_0482,16.370421104248983,False
RES_0483,23.214679593756138,False
RES_0484,113.09321668538085,False
RES_0485,87.17131811796845,False
RES_0486,15.281645114369171,False
RES_0487,53.22318764589302,False
RES_0488,29.068794328742637,False
RES_0489,8.65485885663573,False
RES_0490,13.060751126386902,False
RES_0491,57.80702473650693,False
RES_0492,2.9384658571556814,False
RES_0493,15.933660536648416,False
RES_0494,25.084356260695568,False
RES_0495,6.963371799056744,False
RES_0496,27.47339470330035,False
RES_0497,13.462930975769938,False
RES_0498,37.42673111108738,False
