municipality_code,municipality,bairro,residents,resident_workers,jobs,jobs_per_resident,covered_area_km2,jobs_per_km2,residents_per_km2
3304557,Rio de Janeiro,Glória,5595,2237,0,0.0,1.1400685417293206,0.0,4907.59967072961
3304557,Rio de Janeiro,Grajaú,32635,12057,454,0.013911444767887238,5.739119772690741,79.10620756868185,5686.4120793038155
3304557,Rio de Janeiro,Grumari,184,81,40,0.21739130434782608,9.598851461605243,4.16716522388093,19.168960029852276
3304557,Rio de Janeiro,Guadalupe,40820,15977,11173,0.2737138657520823,3.82001798152512,2924.855342052407,10685.813574024814
3304557,Rio de Janeiro,Guaratiba,160224,67430,44037,0.2748464649490713,147.21621464037295,299.13145170574967,1088.358374051412
3304557,Rio de Janeiro,Gávea,14100,5039,5928,0.4204255319148936,2.5796434149174035,2297.9920270064945,5465.871724155124
3304557,Rio de Janeiro,Higienópolis,13021,5069,0,0.0,1.1574758863204868,0.0,11249.478415824804
3304557,Rio de Janeiro,Honório Gurgel,18656,7193,0,0.0,1.3748506998786343,0.0,13569.473399291188
3304557,Rio de Janeiro,Humaitá,13044,4759,27009,2.0706071757129716,1.0544780944244452,25613.618853544835,12370.10049708019
3304557,Rio de Janeiro,Imperial de São Cristóvão,28175,11323,62009,2.200851818988465,4.1056548522354115,15103.315361796153,6862.486257133748
3304557,Rio de Janeiro,Inhaúma,38439,15233,18998,0.49423762324722287,3.4852836583075946,5450.919311751275,11028.944490178295
3304557,Rio de Janeiro,Inhoaíba,73979,30396,15216,0.20567999026750836,8.2879051994436,1835.928335790027,8926.139744572189
3304557,Rio de Janeiro,Ipanema,38282,13545,52197,1.363486756177838,3.08491533759066,16920.07536283515,12409.416729698165
3304557,Rio de Janeiro,Irajá,86388,33196,35952,0.4161689123489373,7.481981715598563,4805.144060302454,11546.138881881632
3304557,Rio de Janeiro,Itanhangá,68500,30909,7424,0.10837956204379562,13.19776111540942,562.5196527714006,5190.274274628359
3304557,Rio de Janeiro,Jacarepaguá,174657,74948,23477,0.13441774449349295,68.21056967987263,344.18419476897463,2560.556242525229
3304557,Rio de Janeiro,Jacarezinho,35458,14705,16142,0.4552428224942185,0.9438766239442772,17101.811391986503,37566.35041116698
3304557,Rio de Janeiro,Jacaré,8088,3219,0,0.0,0.8425678841548896,0.0,9599.226545541083
3304557,Rio de Janeiro,Jardim América,20244,7930,16950,0.8372851215174867,1.9739737630706797,8586.740268337138,10255.455456767966
3304557,Rio de Janeiro,Jardim Botânico,15871,5840,11136,0.7016571104530276,2.6892108554362175,4140.991762504851,5901.7313454305395
3304557,Rio de Janeiro,Jardim Carioca,20374,8138,18716,0.9186217728477472,1.621130575146123,11545.029306669518,12567.772338858984
