origin,destination,actual
3305554,3302700,21
3305554,3302858,56
3305554,3303203,16
3305554,3303302,23
3305554,3303500,76
3305554,3303609,836
3305554,3304003,1240
3305554,3304144,69
3305554,3304409,10
3305554,3304557,2672
3305554,3305109,23
3305554,3305554,21813
