municipality,bairro,population
Nova Iguaçu,Cacuia,7020
Nova Iguaçu,Califórnia,4663
Nova Iguaçu,Campo Alegre,12910
Nova Iguaçu,Caonze,4711
Nova Iguaçu,Carlos Sampaio,7080
Nova Iguaçu,Carmary,17489
Nova Iguaçu,Centro,25806
Nova Iguaçu,Chacrinha,4114
Nova Iguaçu,Comendador Soares,23431
Nova Iguaçu,Corumbá,12813
Nova Iguaçu,Danon,5827
Nova Iguaçu,Engenho Pequeno,11822
Nova Iguaçu,Figueiras,2445
Nova Iguaçu,Geneciano,8257
Nova Iguaçu,Grama,10506
Nova Iguaçu,Iguaçu Velho,7044
Nova Iguaçu,Inconfidência,5835
Nova Iguaçu,Ipiranga,14154
Nova Iguaçu,Jardim Alvorada,15054
Nova Iguaçu,Jardim Guandu,22143
Nova Iguaçu,Jardim Iguaçu,8978
Nova Iguaçu,Jardim Nova Era,12309
Nova Iguaçu,Jardim Palmares,17945
Nova Iguaçu,Jardim Pernambuco,10297
Nova Iguaçu,Jardim Tropical,10345
Nova Iguaçu,Juscelino,2328
Nova Iguaçu,Kennedy,13981
Nova Iguaçu,Km - 32,16164
Nova Iguaçu,Lagoinha,14183
Nova Iguaçu,Marapicu,19815
Nova Iguaçu,Miguel Couto,6831
Nova Iguaçu,Montevidéu,3303
Nova Iguaçu,Moquetá,7106
Nova Iguaçu,Nova América,14623
Nova Iguaçu,Ouro Verde,9213
Nova Iguaçu,Paraíso,16177
Nova Iguaçu,Parque Ambaí,10448
Nova Iguaçu,Parque Flora,6718
Nova Iguaçu,Ponto Chic,16685
Nova Iguaçu,Prados Verdes,12063
Nova Iguaçu,Rancho Fundo,6849
Nova Iguaçu,Rancho Novo,7972
Nova Iguaçu,Riachão,11228
Nova Iguaçu,Rodilândia,14373
Nova Iguaçu,Rosa dos Ventos,13772
Nova Iguaçu,Santa Eugênia,11667
Nova Iguaçu,Santa Rita,25812
Nova Iguaçu,Tinguazinho,11299
Nova Iguaçu,Tinguá,4094
Nova Iguaçu,Três Corações,3235
Nova Iguaçu,"U.R.G. de Tinguá,Adrianópolis,Rio D'Ouro e Jacer",1210
Nova Iguaçu,Unidade Regional de Governo Centro - URG I,52
Nova Iguaçu,Unidade Regional de Governo de Km 32 - URG VIII,215
Nova Iguaçu,Valverde,12007
Nova Iguaçu,Vila Guimarães,14285
Nova Iguaçu,Vila Nova,8603
Nova Iguaçu,Vila Operária,11093
Nova Iguaçu,Vila de Cava,16413
Nova Iguaçu,da Cerâmica,20049
Nova Iguaçu,da Luz,23823
Nova Iguaçu,da Palhada,14200
Nova Iguaçu,da Posse,10921
Nova Iguaçu,da Prata,6933
Nova Iguaçu,da Viga,10299
Paracambi,Paracambi,40406
Piraí,Piraí,9087
