group,municipality_code,municipality,bairro,residents,target_jobs,formal_component_estimated,informal_component_estimated,spatial_source,jobs,rounding_difference,resident_workers,rais_2023_formal_links,cempre_2024_municipality_persons
66,3304557,Rio de Janeiro,Engenho Novo,39424,11823,5603.83,6219.26,RAIS 2023 neighborhood shares + CEMPRE 2024,11835,12,19622,4983.0,2997653
67,3304557,Rio de Janeiro,Engenho da Rainha,24188,5476,1894.93,3581.27,RAIS 2023 neighborhood shares + CEMPRE 2024,5476,0,12038,1685.0,2997653
68,3304557,Rio de Janeiro,Engenho de Dentro,42826,16774,9499.4,7274.32,RAIS 2023 neighborhood shares + CEMPRE 2024,16779,5,21314,8447.0,2997653
69,3304557,Rio de Janeiro,Estácio,23673,11535,7215.36,4319.48,RAIS 2023 neighborhood shares + CEMPRE 2024,11534,-1,11782,6416.0,2997653
70,3304557,Rio de Janeiro,Flamengo,41489,27201,18709.79,8491.6,RAIS 2023 neighborhood shares + CEMPRE 2024,27201,0,20647,16637.0,2997653
71,3304557,Rio de Janeiro,Freguesia (Ilha),21360,4254,1168.45,3085.85,RAIS 2023 neighborhood shares + CEMPRE 2024,4269,15,10631,1039.0,2997653
72,3304557,Rio de Janeiro,Freguesia (Jacarepaguá),76235,39482,25263.89,14218.3,RAIS 2023 neighborhood shares + CEMPRE 2024,39470,-12,37941,22465.0,2997653
73,3304557,Rio de Janeiro,Galeão,23498,19209,13897.67,5310.89,RAIS 2023 neighborhood shares + CEMPRE 2024,19226,17,11695,12358.0,2997653
74,3304557,Rio de Janeiro,Gamboa,11689,2642,912.04,1730.11,RAIS 2023 neighborhood shares + CEMPRE 2024,2622,-20,5818,811.0,2997653
75,3304557,Rio de Janeiro,Gardênia Azul,25357,8134,4064.26,4070.03,RAIS 2023 neighborhood shares + CEMPRE 2024,8133,-1,12621,3614.0,2997653
76,3304557,Rio de Janeiro,Glória,8730,13142,10376.58,2765.16,RAIS 2023 neighborhood shares + CEMPRE 2024,13135,-7,4345,9227.0,2997653
77,3304557,Rio de Janeiro,Grajaú,37713,14640,8251.11,6388.49,RAIS 2023 neighborhood shares + CEMPRE 2024,14643,3,18770,7337.0,2997653
78,3304557,Rio de Janeiro,Grumari,184,77,44.98,31.89,RAIS 2023 neighborhood shares + CEMPRE 2024,11,-66,92,40.0,2997653
79,3304557,Rio de Janeiro,Guadalupe,41034,9210,3145.48,6064.98,RAIS 2023 neighborhood shares + CEMPRE 2024,9228,18,20424,2797.0,2997653
80,3304557,Rio de Janeiro,Guaratiba,160524,34426,10911.89,23514.39,RAIS 2023 neighborhood shares + CEMPRE 2024,34419,-7,79891,9703.0,2997653
81,3304557,Rio de Janeiro,Gávea,12113,18870,14949.16,3920.49,RAIS 2023 neighborhood shares + CEMPRE 2024,18869,-1,6028,13293.0,2997653
82,3304557,Rio de Janeiro,Higienópolis,16677,6471,3645.92,2824.62,RAIS 2023 neighborhood shares + CEMPRE 2024,6474,3,8302,3242.0,2997653
83,3304557,Rio de Janeiro,Honório Gurgel,18656,4126,1376.5,2749.29,RAIS 2023 neighborhood shares + CEMPRE 2024,4114,-12,9285,1224.0,2997653
84,3304557,Rio de Janeiro,Humaitá,14296,13980,10446.31,3533.61,RAIS 2023 neighborhood shares + CEMPRE 2024,14001,21,7115,9289.0,2997653
85,3304557,Rio de Janeiro,Imperial de São Cristóvão,26952,80762,66924.29,13837.48,RAIS 2023 neighborhood shares + CEMPRE 2024,80788,26,13413,59510.0,2997653
86,3304557,Rio de Janeiro,Inhaúma,69811,23766,12379.47,11386.1,RAIS 2023 neighborhood shares + CEMPRE 2024,23780,14,34744,11008.0,2997653
87,3304557,Rio de Janeiro,Inhoaíba,69437,12848,2946.42,9902.02,RAIS 2023 neighborhood shares + CEMPRE 2024,12858,10,34560,2620.0,2997653
88,3304557,Rio de Janeiro,Ipanema,38392,53786,42154.09,11631.8,RAIS 2023 neighborhood shares + CEMPRE 2024,53791,5,19107,37484.0,2997653
